"","Deployment_fk","Receiver","Station","Zone","Latitude","Longitude","Mooring_type","Quality","Time","Milliseconds","Number_clicks_filtered","Number_clicks_total","Lost_minutes","Dpm","Dp10m","Dph","Recorded","Click_frequency","Click_intensity"
"117",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-23,298071,10476,1520702,18,257,55,18,1440,0.178472222222222,58698.2101167315
"118",2555,"POD-2725","bpns-LST420","Middelkerke",51.2575,2.6778333333,"surface-buoy","hi+mod",2016-11-30,76164,2566,4260456,805,49,15,9,1440,0.0340277777777778,75408.9795918367
"119",2555,"POD-2725","bpns-LST420","Middelkerke",51.2575,2.6778333333,"surface-buoy","hi+mod",2016-12-01,5704,317,5816798,1346,11,4,4,1440,0.00763888888888889,41498.1818181818
"120",2555,"POD-2725","bpns-LST420","Middelkerke",51.2575,2.6778333333,"surface-buoy","hi+mod",2016-12-02,11695,782,5397886,1129,15,4,3,1440,0.0104166666666667,75072
"121",2555,"POD-2725","bpns-LST420","Middelkerke",51.2575,2.6778333333,"surface-buoy","hi+mod",2016-12-03,530,110,5579519,1238,3,2,2,1440,0.00208333333333333,52800
"122",2555,"POD-2725","bpns-LST420","Middelkerke",51.2575,2.6778333333,"surface-buoy","hi+mod",2016-12-04,0,0,5752116,1334,0,0,0,1440,0,NA
"123",2555,"POD-2725","bpns-LST420","Middelkerke",51.2575,2.6778333333,"surface-buoy","hi+mod",2016-12-05,154268,9513,3079405,322,149,29,12,1440,0.103472222222222,91937.7181208054
"124",2555,"POD-2725","bpns-LST420","Middelkerke",51.2575,2.6778333333,"surface-buoy","hi+mod",2016-12-06,13620,615,2882067,312,9,5,5,1440,0.00625,98400
"125",2555,"POD-2725","bpns-LST420","Middelkerke",51.2575,2.6778333333,"surface-buoy","hi+mod",2016-12-07,7949,202,5171801,1021,6,3,2,1440,0.00416666666666667,48480
"126",2555,"POD-2725","bpns-LST420","Middelkerke",51.2575,2.6778333333,"surface-buoy","hi+mod",2016-12-08,8051,295,5584622,1187,12,7,5,1440,0.00833333333333333,35400
"127",2555,"POD-2725","bpns-LST420","Middelkerke",51.2575,2.6778333333,"surface-buoy","hi+mod",2016-12-09,75557,3534,4625806,779,68,21,12,1440,0.0472222222222222,74837.6470588235
